EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C0156700;1092;Tie 1 Sepänsolmu;;1;5;550;6676344;375078;Espoo
C0156800;1035;Tie 50 Bemböle;;50;3;1364;6678611;370913;Espoo
C0156900;1035;Tie 50 Järvenperä;;50;3;3969;6680512;372542;Espoo
C0157000;1035;Tie 50 Kulloonmäki;;50;4;1578;6682773;374568;Espoo
C0157100;1035;Tie 50 Juvanmalmi;;50;4;3285;6683339;376177;Espoo
C0157200;1035;Tie 50 Vihdintie;;50;4;5880;6683946;378586;Vantaa
C0157300;1035;Tie 50 Martinlaakso;;50;5;2275;6685413;380300;Vantaa
C0157400;1035;Tie 50 Hämeenlinnanväylä;;50;5;3717;6685894;381575;Vantaa
C0157500;1084;Tie 50 Tuupakka;;50;6;1613;6686451;383028;Vantaa
C0157600;1084;Tie 50 Kalliosola;;50;6;3406;6686307;384815;Vantaa
C0157700;1084;Tie 50 Lentoasema;;50;6;5847;6685990;387213;Vantaa
C0157800;1084;Tie 50 Tuusulanväylä;;50;6;7229;6685173;388343;Vantaa
C0157900;1084;Tie 50 Suutarila;;50;7;1862;6684888;390191;Helsinki
C0158000;1084;Tie 50 Tikkurila;;50;7;2756;6684538;391008;Helsinki
C0158101;1073;Tie 50 Lahdenväylä;;50;7;6146;6683485;394201;Vantaa
C0158200;1073;Tie 50 Porvoonväylä;;50;8;2924;6681546;396265;Vantaa
C0158301;1005;Tie 4 Järvenpää, Isokytö;Lahteen;4;108;3372;6706657;397678;Järvenpää
C0158302;1005;Tie 4 Järvenpää, Isokytö;Helsinkiin;4;108;3372;6706657;397678;Järvenpää
C0158309;1005;Tie 4 Järvenpää, Isokytö;Tienpinta;4;108;3372;6706657;397678;Järvenpää
C0158401;1078;Tie 50 Inkilä;Kehä III, itään;50;1;106;6669334;363076;Espoo
C0158402;1078;Tie 50 Inkilä;Kehä III, silta;50;1;106;6669334;363076;Espoo
