NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;NIMI_SE;NIMI_EN;TIE;TIEOSA;ETAISYYS;X;Y;KORKEUS;MAAKUNNAN_NIMI
23724;724;L_vt9_Niirala;Tie 9 Niirala;Väg 9 Niirala;Road 9 Niirala;9;361;4290;6898004;689113;0;Pohjois-Karjala
23723;723;L_vt23_Liperi;Tie 23 Liperi;Väg 23 Libelits;Road 23 Liperi;23;417;1290;6943767;615805;0;Pohjois-Karjala
23704;704;L_kt71_Kesälahti;Tie 71 Kesälahti;Väg 71 Kesälax;Road 71 Kesälahti;71;8;4550;6882686;636371;0;Pohjois-Karjala
23705;705;L_kt73_Lieksa;Tie 73 Lieksa;Väg 73 Lieksa;Road 73 Lieksa;73;18;300;7023156;652733;0;Pohjois-Karjala
23928;928;L_vt4_Joutsa;Tie 4 Joutsa;Väg 4 Joutsa;Road 4 Joutsa;4;222;4252;6852102;452298;0;Keski-Suomi
23935;935;L_vt4_Toivakka2;Tie 4 Toivakka;Väg 4 Toivakka;Road 4 Toivakka;4;229;0;6886440;446711;0;Keski-Suomi
23929;929;L_vt4_Hupeli;Tie 4 Hupeli;Väg 4 Hupeli;Road 4 Hupeli;4;232;526;6900759;442438;0;Keski-Suomi
23923;923;L_vt4_Jyväskylä;Tie 4 Jyväskylä;Väg 4 Jyväskylä;Road 4 Jyväskylä;4;233;4845;6901848;436913;0;Keski-Suomi
23933;933;L_vt4_Palokka;Tie 4 Palokka;Väg 4 Palokka;Road 4 Palokka;4;301;4620;6905839;434006;0;Keski-Suomi
23901;901;L_vt4_Tikkakoski;Tie 4 Tikkakoski;Väg 4 Tikkakoski;Road 4 Tikkakoski;4;303;3210;6916018;432990;0;Keski-Suomi
23902;902;L_vt4_Äänekoski;Tie 4 Äänekoski;Väg 4 Äänekoski;Road 4 Äänekoski;4;310;1450;6948036;434776;0;Keski-Suomi
23932;932;L_vt4_Hännilänsalmi;Tie 4 Hännilänsalmi;Väg 4 Hännilänsalmi;Road 4 Hännilänsalmi;4;318;150;6990873;440169;0;Keski-Suomi
23925;925;L_vt4_Viitasaari;Tie 4 Viitasaari;Väg 4 Viitasaari;Road 4 Viitasaari;4;323;659;7011232;433119;0;Keski-Suomi
23930;930;L_vt9_Jämsä;Tie 9 Jämsä;Väg 9 Jämsä;Road 9 Jämsä;9;220;870;6858643;403130;0;Keski-Suomi
23927;927;L_vt9_Korpilahti;Tie 9 Korpilahti;Väg 9 Korpilax;Road 9 Korpilahti;9;228;955;6872633;416094;0;Keski-Suomi
23922;922;L_vt9_Muurame;Tie 9 Muurame;Väg 9 Muurame;Road 9 Muurame;9;232;4133;6884231;427535;0;Keski-Suomi
23903;903;L_vt9_Lievestuore;Tie 9 Laukaa, Lievestuore;Väg 9 Laukas, Lievestuore;Road 9 Laukaa, Lievestuore;9;305;3273;6902160;456267;0;Keski-Suomi
23904;904;L_vt13_Saarijärvi;Tie 13 Saarijärvi;Väg 13 Saarijärvi;Road 13 Saarijärvi;13;131;2211;6964259;401272;0;Keski-Suomi
23931;931;L_vt18_Petäjävesi;Tie 18 Petäjävesi;Väg 18 Petäjävesi;Road 18 Petäjävesi;18;47;2950;6905470;416673;0;Keski-Suomi
23905;905;L_vt23_Keuruu1;Tie 23 Keuruu;Väg 23 Keuru;Road 23 Keuruu;23;217;4363;6903877;373404;0;Keski-Suomi
23921;921;L_vt24_Kuhmoinen;Tie 24 Kuhmoinen;Väg 24 Kuhmoinen;Road 24 Kuhmoinen;24;13;3194;6818457;401189;0;Keski-Suomi
23934;934;L_st637_Tiituspohja;Tie 637 Tiituspohja;Väg 637 Tiituspohja;Road 637 Tiituspohja;637;2;1015;6908266;438898;0;Keski-Suomi
24021;1021;L_vt3_Koskue;Tie 3 Koskue;Väg 3 Koskue;Road 3 Koskue;3;224;4016;6924970;282586;0;Etelä-Pohjanmaa
24047;1047;L_vt3_Kurikka_Tuiskula;Tie 3 Kurikka;Väg 3 Kurikka;Road 3 Kurikka;3;234;1760;6950880;265810;0;Etelä-Pohjanmaa
24058;1058;L_vt16_Ylistaro;Tie 16 Ylistaro;Väg 16 Ylistaro;Road 16 Ylistaro;16;7;3480;6988966;274291;0;Etelä-Pohjanmaa
24027;1027;L_vt16_Alajärvi;Tie 16 Alajärvi;Väg 16 Alajärvi;Road 16 Alajärvi;16;20;1345;6991913;331911;0;Etelä-Pohjanmaa
24032;1032;L_vt18_Nurmo_Munakka;Tie 18 Nurmo, Munakka;Väg 18 Nurmo, Munakka;Road 18 Nurmo, Munakka;18;9;5264;6975992;285355;0;Etelä-Pohjanmaa
24061;1061;L_vt18_Seinäjöki_Pajuneva;Tie 18 Seinäjoki, Pajuneva;Väg 18 Seinäjoki, Pajuneva;Road 18 Seinäjoki, Pajuneva;18;10;4645;6971294;288629;0;Etelä-Pohjanmaa
24037;1037;L_vt18_Nurmo_Uittoo;Tie 18 Nurmo;Väg 18 Nurmo;Road 18 Nurmo;18;13;615;6966579;296401;0;Etelä-Pohjanmaa
